 8880 <= x <= 8910  ; y =   -223.0000 +      0.0333 x ; interpolation
 8910 <= x <= 8940  ; y =   1262.0000 +     -0.1333 x ; interpolation
 8940 <= x <= 8970  ; y =  -1122.0000 +      0.1333 x ; interpolation
 8970 <= x <= 9000  ; y =   5456.0000 +     -0.6000 x ; interpolation
 9000 <= x <= 9030  ; y =   1256.0000 +     -0.1333 x ; interpolation
 9030 <= x <= 9060  ; y =  -5667.0000 +      0.6333 x ; interpolation
 9060 <= x <= 9090  ; y =   3997.0000 +     -0.4333 x ; interpolation
 9090 <= x <= 9120  ; y =  -4184.0000 +      0.4667 x ; interpolation
 9120 <= x <= 9150  ; y =   3720.0000 +     -0.4000 x ; interpolation
 9150 <= x <= 9180  ; y =   2195.0000 +     -0.2333 x ; interpolation
 9180 <= x <= 9210  ; y =   6479.0000 +     -0.7000 x ; interpolation
 9210 <= x <= 9240  ; y =   1874.0000 +     -0.2000 x ; interpolation
 9240 <= x <= 9270  ; y =  -9522.0000 +      1.0333 x ; interpolation
 9270 <= x <= 9300  ; y =  -4269.0000 +      0.4667 x ; interpolation
 9300 <= x <= 9330  ; y =   4101.0000 +     -0.4333 x ; interpolation
 9330 <= x <= 9360  ; y =  -2119.0000 +      0.2333 x ; interpolation
 9360 <= x <= 9390  ; y =   1937.0000 +     -0.2000 x ; interpolation
 9390 <= x <= 9420  ; y =  -4323.0000 +      0.4667 x ; interpolation
 9420 <= x <= 9450  ; y =   1957.0000 +     -0.2000 x ; interpolation
 9450 <= x <= 9480  ; y =  -1823.0000 +      0.2000 x ; interpolation
 9480 <= x <= 9510  ; y =   2917.0000 +     -0.3000 x ; interpolation
 9510 <= x <= 9540  ; y =   2917.0000 +     -0.3000 x ; interpolation
 9540 <= x <= 9570  ; y =  -1853.0000 +      0.2000 x ; interpolation
 9570 <= x <= 9600  ; y =  -3129.0000 +      0.3333 x ; interpolation
 9600 <= x <= 9630  ; y =   1671.0000 +     -0.1667 x ; interpolation
 9630 <= x <= 9660  ; y =  -2502.0000 +      0.2667 x ; interpolation
 9660 <= x <= 9690  ; y =   3616.0000 +     -0.3667 x ; interpolation
 9690 <= x <= 9720  ; y =   2647.0000 +     -0.2667 x ; interpolation
 9720 <= x <= 9750  ; y =  -5453.0000 +      0.5667 x ; interpolation
 9750 <= x <= 9780  ; y =   5597.0000 +     -0.5667 x ; interpolation
 9780 <= x <= 9810  ; y =  -5813.0000 +      0.6000 x ; interpolation
 9810 <= x <= 9840  ; y =    400.0000 +     -0.0333 x ; interpolation
 9840 <= x <= 9870  ; y =   3024.0000 +     -0.3000 x ; interpolation
 9870 <= x <= 9900  ; y =  -2569.0000 +      0.2667 x ; interpolation
 9900 <= x <= 9930  ; y =    731.0000 +     -0.0667 x ; interpolation
 9930 <= x <= 9960  ; y =   -262.0000 +      0.0333 x ; interpolation
 9960 <= x <= 9990  ; y =  -1258.0000 +      0.1333 x ; interpolation
 9990 <= x <= 10020 ; y =    407.0000 +     -0.0333 x ; interpolation
10020 <= x <= 10050 ; y =   6085.0000 +     -0.6000 x ; interpolation
10050 <= x <= 10080 ; y =  -6310.0000 +      0.6333 x ; interpolation
10080 <= x <= 10110 ; y =   6458.0000 +     -0.6333 x ; interpolation
10110 <= x <= 10140 ; y =   -282.0000 +      0.0333 x ; interpolation
10140 <= x <= 10170 ; y =   -620.0000 +      0.0667 x ; interpolation
10170 <= x <= 10200 ; y =   1075.0000 +     -0.1000 x ; interpolation
10200 <= x <= 10230 ; y =  -6065.0000 +      0.6000 x ; interpolation
10230 <= x <= 10260 ; y =   5870.0000 +     -0.5667 x ; interpolation
10260 <= x <= 10290 ; y =  -5416.0000 +      0.5333 x ; interpolation
10290 <= x <= 10320 ; y =    415.0000 +     -0.0333 x ; interpolation
10320 <= x <= 10350 ; y =    415.0000 +     -0.0333 x ; interpolation
10350 <= x <= 10380 ; y =   4555.0000 +     -0.4333 x ; interpolation
10380 <= x <= 10410 ; y =  -4095.0000 +      0.4000 x ; interpolation
10410 <= x <= 10440 ; y =   4580.0000 +     -0.4333 x ; interpolation
10440 <= x <= 10470 ; y =  -2728.0000 +      0.2667 x ; interpolation
10470 <= x <= 10500 ; y =   2507.0000 +     -0.2333 x ; interpolation
10500 <= x <= 10530 ; y =  -4493.0000 +      0.4333 x ; interpolation
10530 <= x <= 10560 ; y =   -281.0000 +      0.0333 x ; interpolation
10560 <= x <= 10590 ; y =    423.0000 +     -0.0333 x ; interpolation
10590 <= x <= 10620 ; y =     70.0000 +      0.0000 x ; interpolation
10620 <= x <= 10650 ; y =   -992.0000 +      0.1000 x ; interpolation
10650 <= x <= 10680 ; y =   1493.0000 +     -0.1333 x ; interpolation
10680 <= x <= 10710 ; y =   5409.0000 +     -0.5000 x ; interpolation
